Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Launch Site,Payload Mass,Launch Outcome,Version Booster,Booster Landing,Date,Time
1,,Dragon Spacecraft Qualification Unit,,LEO,SpaceX,,CCAFS,0,"Success
",F9 v1.0B0003.1,18:45,4 June 2010,18:45
2,,Dragon,,LEO,NASA,,CCAFS,0,Success,F9 v1.0B0004.1,15:43,8 December 2010,15:43
3,,Dragon,,LEO,NASA,,CCAFS,525 kg,Success,F9 v1.0B0005.1,07:44,22 May 2012,07:44
4,,SpaceX CRS-1,,LEO,NASA,,CCAFS,"4,700 kg","Success
",F9 v1.0B0006.1,00:35,8 October 2012,00:35
5,,SpaceX CRS-2,,LEO,NASA,,CCAFS,"4,877 kg","Success
",F9 v1.0B0007.1,15:10,1 March 2013,15:10
6,,CASSIOPE,,Polar orbit,MDA,,VAFB,500 kg,Success,F9 v1.1B1003,16:00,29 September 2013,16:00
7,,SES-8,,GTO,SES,,CCAFS,"3,170 kg",Success,F9 v1.1,22:41,3 December 2013,22:41
8,,Thaicom 6,,GTO,Thaicom,,CCAFS,"3,325 kg",Success,F9 v1.1,22:06,6 January 2014,22:06
9,,SpaceX CRS-3,,LEO,NASA,,Cape Canaveral,"2,296 kg","Success
",F9 v1.1,19:25,18 April 2014,19:25
10,,Orbcomm-OG2,,LEO,Orbcomm,,Cape Canaveral,"1,316 kg",Success,F9 v1.1,15:15,14 July 2014,15:15
11,,AsiaSat 8,,GTO,AsiaSat,,Cape Canaveral,"4,535 kg",Success,F9 v1.1,08:00,5 August 2014,08:00
12,,AsiaSat 6,,GTO,AsiaSat,,Cape Canaveral,"4,428 kg",Success,F9 v1.1,05:00,7 September 2014,05:00
13,,SpaceX CRS-4,,LEO,NASA,,Cape Canaveral,"2,216 kg",Success,F9 v1.1,05:52,21 September 2014,05:52
14,,SpaceX CRS-5,,LEO,NASA,,Cape Canaveral,"2,395 kg",Success,F9 v1.1,09:47,10 January 2015,09:47
15,,DSCOVR,,HEO,USAF,,Cape Canaveral,570 kg,"Success
",F9 v1.1,23:03,11 February 2015,23:03
16,,ABS-3A,,GTO,ABS,,Cape Canaveral,"4,159 kg","Success
",F9 v1.1,03:50,2 March 2015,03:50
17,,SpaceX CRS-6,,LEO,NASA,,Cape Canaveral,"1,898 kg","Success
",F9 v1.1,20:10,14 April 2015,20:10
18,,TürkmenÄlem 52°E / MonacoSAT,,GTO,,,Cape Canaveral,"4,707 kg","Success
",F9 v1.1,23:03,27 April 2015,23:03
19,,SpaceX CRS-7,,LEO,NASA,,Cape Canaveral,"1,952 kg",Failure,F9 v1.1,14:21,28 June 2015,14:21
20,,Orbcomm-OG2,,LEO,Orbcomm,,Cape Canaveral,"2,034 kg","Success
",F9 FT,01:29,22 December 2015,01:29
21,,Jason-3,,LEO,NASA,,VAFB,553 kg,"Success
",F9 v1.1,18:42,17 January 2016,18:42
22,,SES-9,,GTO,SES,,Cape Canaveral,"5,271 kg","Success
",F9 FT,23:35,4 March 2016,23:35
23,,SpaceX CRS-8,,LEO,NASA,,Cape Canaveral,"3,136 kg",Success,F9 FT,20:43,8 April 2016,20:43
24,,JCSAT-14,,GTO,SKY Perfect JSAT Group,,Cape Canaveral,"4,696 kg","Success
",F9 FT,05:21,6 May 2016,05:21
25,,Thaicom 8,,GTO,Thaicom,,Cape Canaveral,"3,100 kg","Success
",F9 FT,21:39,27 May 2016,21:39
26,,ABS-2A,,GTO,ABS,,Cape Canaveral,"3,600 kg","Success
",F9 FT,14:29,15 June 2016,14:29
27,,SpaceX CRS-9,,LEO,NASA,,Cape Canaveral,"2,257 kg","Success
",F9 FT,04:45,18 July 2016,04:45
28,,JCSAT-16,,GTO,SKY Perfect JSAT Group,,Cape Canaveral,"4,600 kg","Success
",F9 FT,05:26,14 August 2016,05:26
29,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"9,600 kg","Success
",F9 FT,17:54,14 January 2017,17:54
30,,SpaceX CRS-10,,LEO,NASA,,KSC,"2,490 kg","Success
",F9 FT,14:39,19 February 2017,14:39
31,,EchoStar 23,,GTO,EchoStar,,KSC,"5,600 kg","Success
",F9 FT,06:00,16 March 2017,06:00
32,,SES-10,,GTO,SES,,KSC,"5,300 kg",Success,F9 FT♺,22:27,30 March 2017,22:27
33,,NROL-76,,LEO,NRO,,KSC,C,"Success
",F9 FT,11:15,1 May 2017,11:15
34,,Inmarsat-5 F4,,GTO,Inmarsat,,KSC,"6,070 kg","Success
",F9 FT,23:21,15 May 2017,23:21
35,,SpaceX CRS-11,,LEO,NASA,,KSC,"2,708 kg","Success
",F9 FT,21:07,3 June 2017,21:07
36,,BulgariaSat-1,,GTO,Bulsatcom,,KSC,"3,669 kg","Success
",F9 FTB1029.2,19:10,23 June 2017,19:10
37,,Iridium NEXT,,LEO,Iridium Communications,,VAFB,"9,600 kg","Success
",F9 FT,20:25,25 June 2017,20:25
38,,Intelsat 35e,,GTO,Intelsat,,KSC,"6,761 kg","Success
",F9 FT,23:38,5 July 2017,23:38
39,,SpaceX CRS-12,,LEO,NASA,,KSC,"3,310 kg","Success
",F9 B4,16:31,14 August 2017,16:31
40,,Formosat-5,,SSO,NSPO,,VAFB,475 kg,"Success
",F9 FT,18:51,24 August 2017,18:51
41,,Boeing X-37B,,LEO,USAF,,KSC,"4,990 kg","Success
",F9 B4,14:00,7 September 2017,14:00
42,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"9,600 kg","Success
",F9 B4,12:37,9 October 2017,12:37
43,,SES-11,,GTO,SES S.A.,,KSC,"5,200 kg","Success
",F9 FTB1031.2,22:53:00,11 October 2017,22:53:00
44,,Koreasat 5A,,GTO,KT Corporation,,KSC,"3,500 kg","Success
",F9 B4,19:34,30 October 2017,19:34
45,,SpaceX CRS-13,,LEO,NASA,,Cape Canaveral,"2,205 kg","Success
",F9 FTB1035.2,15:36,15 December 2017,15:36
46,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"9,600 kg",Success,F9 FTB1036.2,01:27,23 December 2017,01:27
47,,Zuma,,LEO,Northrop Grumman,,CCAFS,C,Success,F9 B4,01:00,8 January 2018,01:00
48,,GovSat-1,,GTO,SES,,CCAFS,"4,230 kg",Success,F9 FTB1032.2,21:25,31 January 2018,21:25
49,,Paz,,SSO,Hisdesat,,VAFB,"2,150 kg",Success,F9 FTB1038.2,14:17,22 February 2018,14:17
50,,Hispasat 30W-6,,GTO,Hispasat,,CCAFS,"6,092 kg",Success,F9 B4,05:33,6 March 2018,05:33
51,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"9,600 kg",Success,F9 B4B1041.2,14:14,30 March 2018,14:14
52,,SpaceX CRS-14,,LEO,NASA,,CCAFS,"2,647 kg",Success,F9 B4B1039.2,20:30,2 April 2018,20:30
53,,Transiting Exoplanet Survey Satellite,,HEO,NASA,,CCAFS,362 kg,Success,F9 B4,22:51,18 April 2018,22:51
54,,Bangabandhu-1,,GTO,Thales-Alenia,,KSC,"3,600 kg",Success,F9 B5B1046.1,20:14,11 May 2018,20:14
55,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"6,460 kg",Success,F9 B4B1043.2,19:47,22 May 2018,19:47
56,,SES-12,,GTO,SES,,CCAFS,"5,384 kg",Success,F9 B4B1040.2,04:45,4 June 2018,04:45
57,,SpaceX CRS-15,,LEO,NASA,,CCAFS,"2,697 kg",Success,F9 B4B1045.2,09:42,29 June 2018,09:42
58,,Telstar 19V,,GTO,Telesat,,CCAFS,"7,075 kg",Success,F9 B5,05:50,22 July 2018,05:50
59,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"9,600 kg",Success,F9 B5B1048,11:39,25 July 2018,11:39
60,,Merah Putih,,GTO,Telkom Indonesia,,CCAFS,"5,800 kg",Success,F9 B5B1046.2,05:18,7 August 2018,05:18
61,,Telstar 18V,,GTO,Telesat,,CCAFS,"7,060 kg",Success,F9 B5,04:45,10 September 2018,04:45
62,,SAOCOM 1A,,SSO,CONAE,,VAFB,"3,000 kg",Success,F9 B5B1048.2,02:22,8 October 2018,02:22
63,,Es'hail 2,,GTO,Es'hailSat,,KSC,"5,300 kg",Success,F9 B5B1047.2,20:46,15 November 2018,20:46
64,,SSO-A,,SSO,Spaceflight Industries,,VAFB,"~4,000 kg",Success,F9 B5B1046.3,18:34:05,3 December 2018,18:34:05
65,,SpaceX CRS-16,,LEO,NASA,,CCAFS,"2,500 kg","Success
",F9 B5,18:16,5 December 2018,18:16
66,,GPS III,,MEO,USAF,,CCAFS,"4,400 kg",Success,F9 B5,13:51,23 December 2018,13:51
67,,Iridium NEXT,,Polar,Iridium Communications,,VAFB,"9,600 kg","Success
",F9 B5B1049.2,15:31,11 January 2019,15:31
68,,Nusantara Satu,,GTO,PSN,,CCAFS,"4,850 kg","Success
",F9 B5B1048.3,01:45,22 February 2019,01:45
69,,Crew Dragon Demo-1,,LEO,NASA,,KSC,"12,055 kg","Success
",F9 B5[268],07:49,2 March 2019,07:49
70,,SpaceX CRS-17,,LEO,NASA,,CCAFS,"2,495 kg","Success
",F9 B5,06:48,4 May 2019,06:48
71,,Starlink,,LEO,SpaceX,,CCAFS,"13,620 kg","Success
",F9 B5B1049.3,02:30,24 May 2019,02:30
72,,RADARSAT Constellation,,SSO,Canadian Space Agency,,VAFB,"4,200 kg","Success
",F9 B5B1051.2,14:17,12 June 2019,14:17
73,,SpaceX CRS-18,,LEO,NASA,,CCAFS,"2,268 kg","Success
",F9 B5B1056.2,22:01,25 July 2019,22:01
74,,AMOS-17,,GTO,Spacecom,,CCAFS,"6,500 kg","Success
",F9 B5B1047.3,23:23,6 August 2019,23:23
75,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,14:56,11 November 2019,14:56
76,,SpaceX CRS-19,,LEO,NASA,,CCAFS,"2,617 kg","Success
",F9 B5,17:29,5 December 2019,17:29
77,,JCSat-18,,GTO,Sky Perfect JSAT,,CCAFS,"6,956 kg","Success
",F9 B5B1056.3,00:10,17 December 2019,00:10
78,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,02:19:21,7 January 2020,02:19:21
79,,Crew Dragon in-flight abort test,,Sub-orbital,NASA,,KSC,"12,050 kg","Success
",F9 B5,15:30,19 January 2020,15:30
80,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,14:07,29 January 2020,14:07
81,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,15:05,17 February 2020,15:05
82,,SpaceX CRS-20,,LEO,NASA,,CCAFS,"1,977 kg","Success
",F9 B5,04:50,7 March 2020,04:50
83,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5,12:16,18 March 2020,12:16
84,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5,19:30,22 April 2020,19:30
85,,Crew Dragon Demo-2,,LEO,NASA,,KSC,"12,530 kg","Success
",F9 B5,19:22,30 May 2020,19:22
86,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,01:25,4 June 2020,01:25
87,,Starlink,,LEO,SpaceX,,CCAFS,"15,410 kg","Success
",F9 B5,09:21,13 June 2020,09:21
88,,GPS III,,MEO,U.S. Space Force,,CCAFS,"4,311 kg","Success
",F9 B5,20:10:46,30 June 2020,20:10:46
89,,ANASIS-II,,GTO,Republic of Korea Army,,CCAFS,"5,000–6,000 kg","Success
",F9 B5B1058.2,21:30,20 July 2020,21:30
90,,Starlink,,LEO,SpaceX,,KSC,"14,932 kg","Success
",F9 B5,05:12,7 August 2020,05:12
91,,Starlink,,LEO,SpaceX,,CCAFS,"~15,440 kg","Success
",F9 B5B1049.6,14:31,18 August 2020,14:31
92,,SAOCOM 1B,,SSO,CONAE,,CCAFS,"3,130 kg","Success
",F9 B5,23:18,30 August 2020,23:18
93,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1060.2,12:46:14,3 September 2020,12:46:14
94,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1058.3,11:29:34,6 October 2020,11:29:34
95,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1051.6,12:25:57,18 October 2020,12:25:57
96,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5,15:31:34,24 October 2020,15:31:34
97,,GPS III,,MEO,USSF,,CCAFS,"4,311 kg","Success
",F9 B5,23:24:23,5 November 2020,23:24:23
98,,Crew-1,,LEO,NASA,,KSC,"~12,500 kg","Success
",F9 B5,00:27,16 November 2020,00:27
99,,Sentinel-6 Michael Freilich (Jason-CS A),,LEO,NASA,,VAFB,"1,192 kg","Success
",F9 B5,17:17:08,21 November 2020,17:17:08
100,,Starlink,,LEO,SpaceX,,CCAFS,"15,600 kg","Success
",F9 B5 ♺,02:13,25 November 2020,02:13
101,,SpaceX CRS-21,,LEO,NASA,,KSC,"2,972 kg","Success
",F9 B5 ♺,16:17:08,6 December 2020,16:17:08
102,,SXM-7,,GTO,Sirius XM,,CCSFS,"7,000 kg","Success
",F9 B5 ♺,17:30:00,13 December 2020,17:30:00
103,,NROL-108,,LEO,NRO,,KSC,C,"Success
",F9 B5 ♺,14:00:00,19 December 2020,14:00:00
104,,Türksat 5A,,GTO,Türksat,,CCSFS,"3,500 kg","Success
",F9 B5,02:15,8 January 2021,02:15
105,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1051.8,13:02,20 January 2021,13:02
106,,Transporter-1,,SSO,Various,,CCSFS,"~5,000 kg","Success
",F9 B5B1058.5,15:00,24 January 2021,15:00
107,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,06:19,4 February 2021,06:19
108,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,03:59:37,16 February 2021,03:59:37
109,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5 ♺,08:24,4 March 2021,08:24
110,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,08:13:29,11 March 2021,08:13:29
111,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5 ♺,10:01,14 March 2021,10:01
112,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1060.6,08:28,24 March 2021,08:28
113,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5 ♺,16:34,7 April 2021,16:34
114,,Crew-2,,LEO,NASA,,KSC,"~13,000 kg","Success
",F9 B5B1061.2,9:49,23 April 2021,9:49
115,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1060.7,03:44,29 April 2021,03:44
116,,Starlink,,LEO,SpaceX,,KSC,"15,600 kg","Success
",F9 B5B1049.9,19:01,4 May 2021,19:01
117,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1051.10,06:42,9 May 2021,06:42
118,,Starlink,,LEO,SpaceX,,KSC,"~14,000 kg","Success
",F9 B5B1058.8,22:56,15 May 2021,22:56
119,,Starlink,,LEO,SpaceX,,CCSFS,"15,600 kg","Success
",F9 B5B1063.2,18:59,26 May 2021,18:59
120,,SpaceX CRS-22,,LEO,NASA,,KSC,"3,328 kg","Success
",F9 B5B1067.1,17:29,3 June 2021,17:29
121,,SXM-8,,GTO,Sirius XM,,CCSFS,"7,000 kg","Success
",F9 B5,04:26,6 June 2021,04:26
